source,target
0,1
0,0
0,5
0,2
0,42
0,79
0,3
0,4
0,6
0,7
0,8
0,9
0,14
0,16
0,17
0,18
0,21
0,22
0,25
0,28
0,29
0,32
0,34
0,35
0,40
0,41
0,47
0,50
0,65
0,69
0,72
0,74
0,76
0,89
0,98
1,2
1,1
1,5
1,12
1,26
1,17
1,51
1,11
1,32
1,59
1,9
1,3
1,4
1,6
1,7
1,8
1,10
1,13
1,14
1,19
1,20
1,21
1,24
1,25
1,29
1,30
1,31
1,33
1,34
1,35
1,38
1,39
1,42
1,44
1,47
1,49
1,52
1,55
1,56
1,58
1,60
1,61
1,62
1,64
1,66
1,75
1,78
1,80
1,81
1,82
1,83
1,85
1,86
1,91
1,94
1,96
1,97
5,4
5,2
5,7
5,8
5,13
5,21
5,23
5,25
5,33
5,36
5,48
5,53
5,88
2,2
2,30
2,3
2,8
2,10
2,11
2,15
2,17
2,19
2,22
2,25
2,27
2,28
2,43
2,53
2,54
2,63
2,67
2,71
2,73
2,84
2,93
2,95
42,99
3,12
3,30
4,12
6,51
8,12
8,51
8,33
8,37
9,13
9,27
9,72
17,11
21,30
22,12
25,68
28,26
29,12
32,11
34,46
41,70
50,59
72,12
72,77
74,12
12,11
12,13
12,54
12,83
51,57
11,59
11,30
11,87
13,45
24,58
30,90
62,92
