node1,node2
78,4
7,17
4,0
69,1
55,2
58,1
8,0
136,103
131,116
146,50
55,157
2,2
46,2
112,2
2,11
167,2
40,59
6,2
79,17
153,0
4,2
59,2
39,17
91,0
191,2
109,15
125,11
71,95
8,2
2,50
51,0
74,2
140,2
0,62
0,181
108,4
144,152
48,56
24,1
96,17
183,0
170,0
41,26
101,10
114,10
35,10
21,2
1,17
4,50
102,2
16,152
51,2
2,116
66,0
132,0
96,10
49,2
4,34
26,0
115,2
38,2
142,50
64,2
133,56
119,2
1,28
185,2
7,14
16,17
53,2
100,7
14,1
111,16
0,2
98,0
74,15
14,28
69,28
15,2
38,4
81,2
141,172
178,17
16,10
110,1
134,2
193,17
90,32
20,10
14,3
5,0
0,50
2,56
43,2
98,2
164,2
179,0
130,34
128,0
54,14
155,2
9,0
75,0
58,14
13,0
24,0
113,2
175,50
7,2
18,2
73,2
39,0
2,15
139,11
77,2
84,17
158,0
78,10
9,2
126,4
4,15
97,32
107,0
55,26
13,2
79,2
80,34
101,2
27,28
0,11
90,11
39,2
2,17
29,1
27,46
199,0
37,2
14,0
3,0
58,0
14,9
118,2
162,2
55,28
110,28
1,2
2,10
54,2
14,2
3,2
4,56
4,1
4,10
196,52
189,0
4,147
47,26
59,28
161,103
16,2
82,2
145,24
20,2
3,4
177,10
149,58
76,0
65,0
165,2
117,56
2,14
169,2
184,0
23,0
89,0
44,32
192,31
61,2
182,2
171,2
0,1
131,2
0,10
2,7
40,0
29,0
63,2
174,0
12,2
55,0
89,2
144,2
89,194
27,2
45,17
135,17
55,82
190,17
153,32
2,0
57,0
123,0
40,2
3,56
